date,1. open,2. high,3. low,4. close,5. volume,date_time
2023-10-30 08:15:00,123.31,123.45,123.3,123.44,10787.0,2023-10-30 08:15:00
2023-10-30 08:00:00,123.28,123.98,122.17,123.37,55689.0,2023-10-30 08:00:00
2023-10-30 07:45:00,123.46,123.65,123.45,123.6,17878.0,2023-10-30 07:45:00
2023-10-30 07:30:00,123.32,123.46,123.26,123.46,11071.0,2023-10-30 07:30:00
2023-10-30 07:15:00,123.23,123.36,123.21,123.3,7339.0,2023-10-30 07:15:00
2023-10-30 07:00:00,123.16,123.29,123.11,123.22,27890.0,2023-10-30 07:00:00
2023-10-30 06:45:00,123.25,123.27,123.14,123.16,2905.0,2023-10-30 06:45:00
2023-10-30 06:30:00,123.24,123.29,123.19,123.27,1908.0,2023-10-30 06:30:00
2023-10-30 06:15:00,123.29,123.33,123.16,123.25,2722.0,2023-10-30 06:15:00
2023-10-30 06:00:00,123.23,123.31,123.15,123.22,2896.0,2023-10-30 06:00:00
2023-10-30 05:45:00,123.23,123.33,123.23,123.29,1712.0,2023-10-30 05:45:00
2023-10-30 05:30:00,123.28,123.29,123.17,123.23,947.0,2023-10-30 05:30:00
2023-10-30 05:15:00,123.3,123.41,123.21,123.28,3135.0,2023-10-30 05:15:00
2023-10-30 05:00:00,123.2,123.3,123.08,123.26,5856.0,2023-10-30 05:00:00
2023-10-30 04:45:00,123.18,123.24,123.09,123.15,4402.0,2023-10-30 04:45:00
2023-10-30 04:30:00,123.2,123.29,123.11,123.12,2286.0,2023-10-30 04:30:00
2023-10-30 04:15:00,123.07,123.37,123.03,123.28,2184.0,2023-10-30 04:15:00
2023-10-30 04:00:00,122.23,123.69,122.16,123.13,18279.0,2023-10-30 04:00:00
2023-10-27 19:45:00,122.25,122.28,122.0,122.0,5372.0,2023-10-27 19:45:00
2023-10-27 19:30:00,122.2,122.28,122.18,122.27,6737.0,2023-10-27 19:30:00
2023-10-27 19:15:00,122.19,122.25,122.18,122.2,6874.0,2023-10-27 19:15:00
2023-10-27 19:00:00,122.23,122.27,122.17,122.19,3246.0,2023-10-27 19:00:00
2023-10-27 18:45:00,122.2,122.23,122.17,122.17,1510.0,2023-10-27 18:45:00
2023-10-27 18:30:00,122.21,122.23,122.17,122.2,9821.0,2023-10-27 18:30:00
2023-10-27 18:15:00,122.25,122.26,122.17,122.22,1287.0,2023-10-27 18:15:00
2023-10-27 18:00:00,122.2,122.27,122.17,122.18,2120.0,2023-10-27 18:00:00
2023-10-27 17:45:00,122.2,122.2,122.17,122.2,4355.0,2023-10-27 17:45:00
2023-10-27 17:30:00,122.18,122.21,122.17,122.2,4556.0,2023-10-27 17:30:00
2023-10-27 17:15:00,122.17,122.21,121.203,122.17,641247.0,2023-10-27 17:15:00
2023-10-27 17:00:00,122.17,122.24,122.17,122.22,11428.0,2023-10-27 17:00:00
2023-10-27 16:45:00,122.27,122.27,122.17,122.17,6860.0,2023-10-27 16:45:00
2023-10-27 16:30:00,122.35,122.41,122.25,122.27,10654.0,2023-10-27 16:30:00
2023-10-27 16:15:00,122.17,122.39,121.77,122.32,129422.0,2023-10-27 16:15:00
2023-10-27 16:00:00,122.18,122.47,122.1,122.31,6922988.0,2023-10-27 16:00:00
2023-10-27 15:45:00,121.64,122.3,121.49,122.18,3711597.0,2023-10-27 15:45:00
2023-10-27 15:30:00,122.17,122.22,121.63,121.63,1372764.0,2023-10-27 15:30:00
2023-10-27 15:15:00,121.99,122.21,121.9,122.17,988856.0,2023-10-27 15:15:00
2023-10-27 15:00:00,121.78,122.19,121.685,121.99,882547.0,2023-10-27 15:00:00
2023-10-27 14:45:00,122.02,122.03,121.63,121.77,955261.0,2023-10-27 14:45:00
2023-10-27 14:30:00,121.48,122.1,121.394,122.02,726023.0,2023-10-27 14:30:00
2023-10-27 14:15:00,121.43,121.64,121.24,121.47,674261.0,2023-10-27 14:15:00
2023-10-27 14:00:00,121.49,121.54,121.07,121.44,780932.0,2023-10-27 14:00:00
2023-10-27 13:45:00,121.63,121.72,121.26,121.49,803942.0,2023-10-27 13:45:00
2023-10-27 13:30:00,121.46,121.8,121.32,121.65,793943.0,2023-10-27 13:30:00
2023-10-27 13:15:00,121.45,121.681,121.25,121.455,1005802.0,2023-10-27 13:15:00
2023-10-27 13:00:00,121.815,121.95,121.27,121.442,929358.0,2023-10-27 13:00:00
2023-10-27 12:45:00,122.195,122.22,121.77,121.812,873377.0,2023-10-27 12:45:00
2023-10-27 12:30:00,122.33,122.578,122.15,122.19,676142.0,2023-10-27 12:30:00
2023-10-27 12:15:00,122.26,122.62,122.08,122.325,717963.0,2023-10-27 12:15:00
2023-10-27 12:00:00,122.42,122.805,122.23,122.27,1296811.0,2023-10-27 12:00:00
2023-10-27 11:45:00,122.09,122.44,121.82,122.43,970764.0,2023-10-27 11:45:00
2023-10-27 11:30:00,121.96,122.325,121.64,122.09,1473613.0,2023-10-27 11:30:00
2023-10-27 11:15:00,121.976,122.18,121.78,121.955,1528651.0,2023-10-27 11:15:00
2023-10-27 11:00:00,121.225,122.05,120.98,121.96,1448115.0,2023-10-27 11:00:00
2023-10-27 10:45:00,120.68,121.45,120.64,121.22,1597170.0,2023-10-27 10:45:00
2023-10-27 10:30:00,121.13,121.67,120.655,120.68,1822885.0,2023-10-27 10:30:00
